Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/05/13,23:46:26,38.2463,38.7547,1.8,3.5,Malatya,Doğu Anadolu Bölgesi
2020/05/13,22:15:51,39.0432,27.8320,2.3,10.9,Manisa,Ege Bölgesi
2020/05/13,19:26:04,37.7602,30.5758,2.7,4.7,Isparta,Akdeniz Bölgesi
2020/05/13,17:39:45,39.4818,26.2487,2.3,6.3,Çanakkale,Marmara Bölgesi
2020/05/13,17:25:01,38.3705,39.1330,1.4,5.3,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,16:33:29,38.8408,35.8457,1.2,0.0,Kayseri,İç Anadolu Bölgesi
2020/05/13,16:30:52,38.4803,39.2987,1.8,9.9,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,16:21:50,39.5403,26.1397,2.4,5.2,Çanakkale,Marmara Bölgesi
2020/05/13,15:35:12,37.4162,26.9988,1.8,12.6,Aydın,Ege Bölgesi
2020/05/13,14:55:17,38.3120,38.9292,1.4,24.6,Malatya,Doğu Anadolu Bölgesi
2020/05/13,14:49:36,38.0215,37.8995,1.5,5.0,Malatya,Doğu Anadolu Bölgesi
2020/05/13,14:39:43,38.4247,39.2538,1.6,8.7,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,13:42:42,39.2783,38.5372,1.9,14.5,Erzincan,Doğu Anadolu Bölgesi
2020/05/13,13:26:50,38.2943,38.7690,2.3,12.7,Malatya,Doğu Anadolu Bölgesi
2020/05/13,13:10:32,39.1225,27.5823,1.6,0.0,Manisa,Ege Bölgesi
2020/05/13,12:54:09,38.9475,43.5985,2.3,9.1,Van,Doğu Anadolu Bölgesi
2020/05/13,12:04:10,37.2173,28.2767,1.8,0.0,Aydın,Ege Bölgesi
2020/05/13,12:03:37,37.2497,28.2793,1.8,0.0,Aydın,Ege Bölgesi
2020/05/13,12:01:21,35.2832,33.4607,1.8,0.0,Girne,Kuzey Kıbrıs
2020/05/13,11:51:28,37.2388,28.2875,1.8,0.0,Aydın,Ege Bölgesi
2020/05/13,11:29:08,36.8943,32.4413,1.5,0.0,Konya,İç Anadolu Bölgesi
2020/05/13,11:19:32,38.4108,39.2532,1.5,9.6,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,11:19:01,38.3528,38.7923,2.3,2.9,Malatya,Doğu Anadolu Bölgesi
2020/05/13,11:18:11,38.2935,38.7667,2.8,1.7,Malatya,Doğu Anadolu Bölgesi
2020/05/13,10:47:15,38.4002,39.0962,2.4,11.1,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,10:46:04,36.4995,28.6892,2.2,8.1,Mersin,Akdeniz Bölgesi
2020/05/13,09:31:56,38.1057,28.2302,1.1,16.7,İzmir,Ege Bölgesi
2020/05/13,09:30:46,36.8930,33.9132,2.0,22.9,Mersin,Akdeniz Bölgesi
2020/05/13,06:32:49,37.4915,35.9952,1.9,7.3,Osmaniye,Akdeniz Bölgesi
2020/05/13,06:21:36,38.4705,39.2890,1.3,9.6,Elazığ,Doğu Anadolu Bölgesi
2020/05/13,05:51:24,36.1922,28.3222,1.7,54.1,Mersin,Akdeniz Bölgesi
2020/05/13,05:19:02,36.5708,28.3848,2.8,29.3,Mersin,Akdeniz Bölgesi
2020/05/13,04:24:56,39.0772,27.6770,1.1,5.0,Manisa,Ege Bölgesi
2020/05/13,03:02:23,36.4990,28.6038,1.3,5.0,Mersin,Akdeniz Bölgesi
2020/05/13,01:35:16,38.3262,38.9517,1.4,23.4,Malatya,Doğu Anadolu Bölgesi
2020/05/13,00:59:02,35.2940,27.0930,3.0,10.8,Mersin,Akdeniz Bölgesi
2020/05/13,00:53:58,37.0808,27.8708,1.3,4.7,Muğla,Ege Bölgesi
2020/05/13,00:40:27,35.9832,28.7302,2.0,8.0,Mersin,Akdeniz Bölgesi
