Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/06,19:07:59,39.1805,27.8062,1.7,0.0,Manisa,Ege Bölgesi
2020/04/06,18:26:53,39.0195,27.8400,1.3,9.6,Manisa,Ege Bölgesi
2020/04/06,17:35:54,39.1152,27.7822,2.4,11.7,Manisa,Ege Bölgesi
2020/04/06,16:43:32,38.3977,38.8760,2.0,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/06,16:32:55,39.1258,27.7600,1.7,5.0,Manisa,Ege Bölgesi
2020/04/06,16:20:53,38.9927,27.8852,1.5,2.7,Manisa,Ege Bölgesi
2020/04/06,16:06:57,39.1867,27.7867,1.9,5.0,Manisa,Ege Bölgesi
2020/04/06,14:11:48,38.9597,27.8868,1.3,5.3,Manisa,Ege Bölgesi
2020/04/06,14:11:18,38.9892,27.8345,2.5,10.7,Manisa,Ege Bölgesi
2020/04/06,13:27:59,38.9978,27.8352,1.1,15.0,Manisa,Ege Bölgesi
2020/04/06,13:24:50,38.9562,27.8345,2.1,20.3,Manisa,Ege Bölgesi
2020/04/06,13:16:06,37.2957,37.2940,1.1,0.0,Gaziantep,Güneydoğu Anadolu Bölgesi
2020/04/06,13:04:10,39.7290,28.7318,1.6,26.5,Bursa,Marmara Bölgesi
2020/04/06,12:49:34,37.3255,35.9630,1.3,4.6,Osmaniye,Akdeniz Bölgesi
2020/04/06,12:42:33,38.7532,40.1535,1.7,9.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/06,12:35:29,39.3565,38.1705,1.7,2.3,Sivas,İç Anadolu Bölgesi
2020/04/06,12:05:38,39.0548,27.8170,1.6,8.2,Manisa,Ege Bölgesi
2020/04/06,11:41:45,36.2743,33.7013,1.2,0.0,Mersin,Akdeniz Bölgesi
2020/04/06,11:19:11,38.2990,38.8723,1.8,14.1,Malatya,Doğu Anadolu Bölgesi
2020/04/06,10:26:50,37.7418,38.5712,1.4,6.2,Adıyaman,Güneydoğu Anadolu Bölgesi
2020/04/06,10:25:36,38.1305,28.1865,1.4,17.1,İzmir,Ege Bölgesi
2020/04/06,10:20:49,38.4733,39.2977,1.6,17.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/06,10:01:02,38.5257,39.4017,1.9,13.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/06,09:54:02,38.9152,27.8277,1.5,4.4,Manisa,Ege Bölgesi
2020/04/06,09:18:13,37.2695,28.0057,1.7,0.0,Muğla,Ege Bölgesi
2020/04/06,09:05:27,39.9085,40.6823,1.9,1.9,Erzurum,Doğu Anadolu Bölgesi
2020/04/06,09:03:05,39.0073,27.8652,1.0,9.4,Manisa,Ege Bölgesi
2020/04/06,07:20:13,38.3937,39.0887,2.3,8.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/06,06:26:12,39.0337,27.8772,2.1,11.9,Manisa,Ege Bölgesi
2020/04/06,04:54:02,39.1130,27.7570,1.9,7.3,Manisa,Ege Bölgesi
2020/04/06,04:11:41,38.3382,38.8360,2.6,3.6,Malatya,Doğu Anadolu Bölgesi
2020/04/06,04:06:24,38.3627,38.8207,1.6,4.3,Malatya,Doğu Anadolu Bölgesi
2020/04/06,03:53:41,38.7518,33.5528,1.5,3.7,Ankara,İç Anadolu Bölgesi
2020/04/06,01:49:56,40.1740,31.7645,2.4,7.0,Ankara,İç Anadolu Bölgesi
2020/04/06,01:23:05,39.0997,27.7180,1.7,7.4,Manisa,Ege Bölgesi
2020/04/06,00:44:28,38.7985,27.7352,2.1,14.8,Manisa,Ege Bölgesi
2020/04/06,00:21:14,38.5115,39.3250,1.7,16.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,23:21:50,38.8018,27.7338,1.8,13.7,Manisa,Ege Bölgesi
2020/04/05,23:15:50,37.2465,28.1677,1.1,23.2,Muğla,Ege Bölgesi
2020/04/05,22:38:18,38.2892,28.3157,2.9,7.4,İzmir,Ege Bölgesi
2020/04/05,22:22:40,38.9763,31.8425,2.3,6.1,Konya,İç Anadolu Bölgesi
2020/04/05,22:12:40,39.8840,39.9477,2.2,5.4,Erzincan,Doğu Anadolu Bölgesi
2020/04/05,21:34:08,37.8697,30.9542,1.8,9.4,Isparta,Akdeniz Bölgesi
2020/04/05,20:37:12,38.0950,28.9083,1.7,12.9,Denizli,Ege Bölgesi
2020/04/05,19:41:12,39.0930,27.8205,1.6,18.5,Manisa,Ege Bölgesi
2020/04/05,17:28:47,38.4877,39.3015,2.0,13.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,17:22:02,38.3802,38.7607,1.6,15.1,Malatya,Doğu Anadolu Bölgesi
2020/04/05,17:17:13,40.1097,33.2518,2.2,6.6,Ankara,İç Anadolu Bölgesi
2020/04/05,16:55:44,38.3740,39.0965,1.4,5.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,16:32:00,38.4388,39.4122,1.1,1.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,16:31:04,37.7615,36.0648,1.9,14.1,Adana,Akdeniz Bölgesi
2020/04/05,14:51:08,39.2655,29.2288,1.9,0.0,Kütahya,Ege Bölgesi
2020/04/05,14:26:01,38.4142,39.1967,1.4,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,11:59:26,38.4177,39.0862,1.4,10.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,11:29:13,38.9605,27.8800,1.8,10.7,Manisa,Ege Bölgesi
2020/04/05,10:59:57,39.4480,27.9678,2.4,9.6,Balıkesir,Marmara Bölgesi
2020/04/05,10:01:56,39.1297,27.7842,1.8,4.2,Manisa,Ege Bölgesi
2020/04/05,09:22:54,39.5355,28.3183,1.6,9.5,Balıkesir,Marmara Bölgesi
2020/04/05,08:49:27,38.3912,38.9845,1.9,12.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,08:44:34,37.3132,29.5903,2.9,5.7,Burdur,Akdeniz Bölgesi
2020/04/05,08:08:39,38.4913,27.7083,1.7,14.8,Manisa,Ege Bölgesi
2020/04/05,07:55:40,39.4100,37.5895,2.6,5.5,Sivas,İç Anadolu Bölgesi
2020/04/05,07:02:16,38.4863,39.3177,1.6,11.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,06:16:31,38.8733,43.4825,2.2,7.1,Van,Doğu Anadolu Bölgesi
2020/04/05,05:21:46,38.9667,27.8612,1.2,11.5,Manisa,Ege Bölgesi
2020/04/05,04:44:07,35.2308,31.7855,2.7,5.0,Mersin,Akdeniz Bölgesi
2020/04/05,04:07:03,38.4778,27.7038,1.6,14.2,Manisa,Ege Bölgesi
2020/04/05,04:03:15,38.3357,38.7985,1.9,2.7,Malatya,Doğu Anadolu Bölgesi
2020/04/05,03:56:36,39.0348,27.8292,1.2,10.8,Manisa,Ege Bölgesi
2020/04/05,03:46:46,38.9055,43.4612,2.1,3.1,Van,Doğu Anadolu Bölgesi
2020/04/05,03:30:51,39.0025,29.6217,1.7,3.4,Kütahya,Ege Bölgesi
2020/04/05,03:23:40,38.4135,39.1373,1.5,8.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/05,00:49:53,40.4633,27.4223,2.5,15.2,Balıkesir,Marmara Bölgesi
2020/04/05,00:27:08,39.0037,27.8483,1.2,8.6,Manisa,Ege Bölgesi
2020/04/05,00:19:58,38.8775,43.4305,2.8,5.0,Van,Doğu Anadolu Bölgesi
2020/04/05,00:19:56,38.9807,27.8840,0.9,12.1,Manisa,Ege Bölgesi
2020/04/04,23:48:05,40.1737,31.6455,1.9,12.8,Ankara,İç Anadolu Bölgesi
2020/04/04,23:43:32,38.3748,38.8565,1.5,13.8,Malatya,Doğu Anadolu Bölgesi
2020/04/04,23:01:57,37.4237,37.1680,1.5,5.4,Kahramanmaraş,Akdeniz Bölgesi
2020/04/04,23:01:21,38.6348,42.9788,1.4,5.0,Van,Doğu Anadolu Bölgesi
2020/04/04,22:51:04,38.9550,27.8920,2.3,10.2,Manisa,Ege Bölgesi
2020/04/04,22:49:35,40.2237,42.6540,1.9,5.3,Kars,Doğu Anadolu Bölgesi
2020/04/04,22:30:09,38.9963,27.8507,3.4,11.4,Manisa,Ege Bölgesi
2020/04/04,22:18:14,35.8923,29.7252,2.8,21.1,Mersin,Akdeniz Bölgesi
2020/04/04,22:04:49,38.6740,38.1642,2.0,3.0,Malatya,Doğu Anadolu Bölgesi
2020/04/04,21:44:32,34.5715,32.7188,2.8,32.1,Mersin,Akdeniz Bölgesi
2020/04/04,21:10:18,39.0263,27.9877,2.2,8.9,Manisa,Ege Bölgesi
2020/04/04,20:20:36,38.5883,39.5190,1.7,12.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/04,19:54:44,38.9883,27.8765,1.5,5.0,Manisa,Ege Bölgesi
2020/04/04,19:52:53,37.4820,35.9888,1.4,7.3,Osmaniye,Akdeniz Bölgesi
2020/04/04,19:06:36,38.4860,39.3038,1.6,12.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/04,18:41:32,38.4663,39.3533,1.8,13.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/04,18:28:02,39.0718,27.8502,2.2,18.5,Manisa,Ege Bölgesi
2020/04/04,18:06:07,39.1500,42.8475,1.8,4.1,Ağrı,Doğu Anadolu Bölgesi
2020/04/04,17:22:38,39.0620,27.8263,2.5,5.4,Manisa,Ege Bölgesi
2020/04/04,16:14:10,37.6770,36.0708,1.8,26.3,Adana,Akdeniz Bölgesi
2020/04/04,13:02:48,39.1467,27.7788,2.1,5.0,Manisa,Ege Bölgesi
2020/04/04,12:41:59,39.0153,27.8167,1.9,6.9,Manisa,Ege Bölgesi
2020/04/04,12:32:32,37.3092,31.9300,1.9,0.0,Konya,İç Anadolu Bölgesi
2020/04/04,09:49:08,37.9453,36.3657,2.5,16.3,Kahramanmaraş,Akdeniz Bölgesi
2020/04/04,08:51:09,35.8195,28.1973,2.5,5.7,Mersin,Akdeniz Bölgesi
2020/04/04,07:40:20,38.9232,43.4258,2.3,10.1,Van,Doğu Anadolu Bölgesi
2020/04/04,07:24:39,38.9027,43.4225,1.8,15.9,Van,Doğu Anadolu Bölgesi
2020/04/04,06:41:53,35.7390,35.6430,2.6,17.5,Mersin,Akdeniz Bölgesi
2020/04/04,06:08:21,38.5378,40.5990,1.9,11.2,Diyarbakır,Güneydoğu Anadolu Bölgesi
2020/04/04,05:52:36,38.8947,43.4707,3.0,5.0,Van,Doğu Anadolu Bölgesi
